club,logo_file,status,primary,secondary
680,assets/logos/680.svg,generated_badge_replace_with_official,#111827,#F7B500
908,assets/logos/908.svg,generated_badge_replace_with_official,#073763,#F7B500
Alameda,assets/logos/alameda.svg,generated_badge_replace_with_official,#0B2E63,#F7B500
American River,assets/logos/american-river.svg,generated_badge_replace_with_official,#1E3A8A,#EF4444
BOA,assets/logos/boa.svg,generated_badge_replace_with_official,#073763,#F7B500
Back Bay,assets/logos/back-bay.svg,generated_badge_replace_with_official,#073763,#F7B500
Brea Olinda Gold,assets/logos/brea-olinda-gold.svg,generated_badge_replace_with_official,#073763,#F7B500
Burlingame,assets/logos/burlingame.svg,generated_badge_replace_with_official,#073763,#F7B500
CC United,assets/logos/cc-united.svg,generated_badge_replace_with_official,#0B2E63,#F7B500
CDM,assets/logos/cdm.svg,generated_badge_replace_with_official,#073763,#F7B500
CIU,assets/logos/ciu.svg,generated_badge_replace_with_official,#073763,#F7B500
CT Premier,assets/logos/ct-premier.svg,generated_badge_replace_with_official,#073763,#F7B500
CVU,assets/logos/cvu.svg,generated_badge_replace_with_official,#073763,#F7B500
Clovis Red,assets/logos/clovis-red.svg,generated_badge_replace_with_official,#073763,#F7B500
Commerce,assets/logos/commerce.svg,generated_badge_replace_with_official,#111827,#60A5FA
Davis,assets/logos/davis.svg,generated_badge_replace_with_official,#073763,#F7B500
Devils Gate,assets/logos/devils-gate.svg,generated_badge_replace_with_official,#073763,#F7B500
Diablo Alliance,assets/logos/diablo-alliance.svg,generated_badge_replace_with_official,#111827,#F97316
Foothill Club,assets/logos/foothill-club.svg,generated_badge_replace_with_official,#073763,#F7B500
Gold Coast,assets/logos/gold-coast.svg,generated_badge_replace_with_official,#073763,#F7B500
Hieland,assets/logos/hieland.svg,generated_badge_replace_with_official,#073763,#F7B500
Honolulu Blue,assets/logos/honolulu-blue.svg,generated_badge_replace_with_official,#073763,#F7B500
Honolulu Green,assets/logos/honolulu-green.svg,generated_badge_replace_with_official,#073763,#F7B500
Kingsburg,assets/logos/kingsburg.svg,generated_badge_replace_with_official,#073763,#F7B500
LA Premier,assets/logos/la-premier.svg,generated_badge_replace_with_official,#073763,#F7B500
LAWPC,assets/logos/lawpc.svg,generated_badge_replace_with_official,#073763,#F7B500
La Jolla United,assets/logos/la-jolla-united.svg,generated_badge_replace_with_official,#092E61,#F9C74F
Lamorinda,assets/logos/lamorinda.svg,generated_badge_replace_with_official,#B91C1C,#111827
Los Alamitos,assets/logos/los-alamitos.svg,generated_badge_replace_with_official,#073763,#F7B500
Loyola WPC,assets/logos/loyola-wpc.svg,generated_badge_replace_with_official,#073763,#F7B500
Midpen,assets/logos/midpen.svg,generated_badge_replace_with_official,#073763,#F7B500
Mission,assets/logos/mission.svg,generated_badge_replace_with_official,#141414,#F6C445
Nado,assets/logos/nado.svg,generated_badge_replace_with_official,#073763,#F7B500
Newport Beach,assets/logos/newport-beach.svg,generated_badge_replace_with_official,#082F67,#F7B500
NorCal,assets/logos/norcal.svg,generated_badge_replace_with_official,#111111,#12B7C8
North Irvine,assets/logos/north-irvine.svg,generated_badge_replace_with_official,#0B2E63,#F7B500
Northwest,assets/logos/northwest.svg,generated_badge_replace_with_official,#073763,#F7B500
OCWPC,assets/logos/ocwpc.svg,generated_badge_replace_with_official,#073763,#F7B500
ORWP,assets/logos/orwp.svg,generated_badge_replace_with_official,#073763,#F7B500
OVAC,assets/logos/ovac.svg,generated_badge_replace_with_official,#073763,#F7B500
PV WPC,assets/logos/pv-wpc.svg,generated_badge_replace_with_official,#073763,#F7B500
Pasadena AC,assets/logos/pasadena-ac.svg,generated_badge_replace_with_official,#073763,#F7B500
Patriot,assets/logos/patriot.svg,generated_badge_replace_with_official,#173D9A,#E31B23
Patriot Red,assets/logos/patriot-red.svg,generated_badge_replace_with_official,#173D9A,#E31B23
Pegasus,assets/logos/pegasus.svg,generated_badge_replace_with_official,#073763,#F7B500
Poway Valley Black,assets/logos/poway-valley-black.svg,generated_badge_replace_with_official,#073763,#F7B500
Pride,assets/logos/pride.svg,generated_badge_replace_with_official,#073763,#F7B500
Rancho Tsunami,assets/logos/rancho-tsunami.svg,generated_badge_replace_with_official,#073763,#F7B500
Riverside,assets/logos/riverside.svg,generated_badge_replace_with_official,#073763,#F7B500
Rose Bowl,assets/logos/rose-bowl.svg,generated_badge_replace_with_official,#073763,#F7B500
Route 66 Aquatics,assets/logos/route-66-aquatics.svg,generated_badge_replace_with_official,#073763,#F7B500
SD Dons,assets/logos/sd-dons.svg,generated_badge_replace_with_official,#151923,#C8102E
SD ECA,assets/logos/sd-eca.svg,generated_badge_replace_with_official,#073763,#F7B500
SHAQ,assets/logos/shaq.svg,generated_badge_replace_with_official,#073763,#F7B500
SJ Express,assets/logos/sj-express.svg,generated_badge_replace_with_official,#073763,#F7B500
SJ Foundation,assets/logos/sj-foundation.svg,generated_badge_replace_with_official,#073763,#F7B500
SOCAL,assets/logos/socal.svg,generated_badge_replace_with_official,#073763,#F7B500
San Clemente,assets/logos/san-clemente.svg,generated_badge_replace_with_official,#073763,#F7B500
San Clemente Red,assets/logos/san-clemente-red.svg,generated_badge_replace_with_official,#073763,#F7B500
San Diego Shores,assets/logos/san-diego-shores.svg,generated_badge_replace_with_official,#073763,#F7B500
San Francisco,assets/logos/san-francisco.svg,generated_badge_replace_with_official,#073763,#F7B500
Sand Canyon,assets/logos/sand-canyon.svg,generated_badge_replace_with_official,#073763,#F7B500
Santa Barbara,assets/logos/santa-barbara.svg,generated_badge_replace_with_official,#073763,#F7B500
Santa Cruz,assets/logos/santa-cruz.svg,generated_badge_replace_with_official,#073763,#F7B500
Set,assets/logos/set.svg,generated_badge_replace_with_official,#073763,#F7B500
Sharks,assets/logos/sharks.svg,generated_badge_replace_with_official,#073763,#F7B500
Shore Aquatics,assets/logos/shore-aquatics.svg,generated_badge_replace_with_official,#073763,#F7B500
Skip,assets/logos/skip.svg,generated_badge_replace_with_official,#073763,#F7B500
South Coast,assets/logos/south-coast.svg,generated_badge_replace_with_official,#092E61,#F7B500
Stanford,assets/logos/stanford.svg,generated_badge_replace_with_official,#8C1515,#FFFFFF
Supreme,assets/logos/supreme.svg,generated_badge_replace_with_official,#073763,#F7B500
Temple City,assets/logos/temple-city.svg,generated_badge_replace_with_official,#073763,#F7B500
Titans,assets/logos/titans.svg,generated_badge_replace_with_official,#073763,#F7B500
Tri-Valley Tritons,assets/logos/tri-valley-tritons.svg,generated_badge_replace_with_official,#073763,#F7B500
Trilogy,assets/logos/trilogy.svg,generated_badge_replace_with_official,#073763,#F7B500
Triton Gold,assets/logos/triton-gold.svg,generated_badge_replace_with_official,#073763,#F7B500
Trojan,assets/logos/trojan.svg,generated_badge_replace_with_official,#073763,#F7B500
Vanguard,assets/logos/vanguard.svg,generated_badge_replace_with_official,#111827,#C8CDD2
Vegas Renegades,assets/logos/vegas-renegades.svg,generated_badge_replace_with_official,#073763,#F7B500
